Timestamp,Email,Name,Who is signing up?,I can attend the arts and crafts sessions on these dates: (select all that apply),What languages do you speak? (Senior),What is your favorite movie genre?,Which best fits your idea of a perfect afternoon?,What quality do you most value in a friend?,School Name,Grade Level,Parent Email,What languages do you speak? (Volunteer),What is your favorite movie genre?,Which best fits your idea of a perfect afternoon?,What quality do you most value in a friend?
8/18/2026 10:00:00,eleanor.v@example.com,Eleanor Vance,Senior Citizen (60+ yrs),8/23/2026;9/13/2026,English;Spanish,Drama,Going for a walk or hike at a local garden/park,Reliability and trustworthiness,,,,,
8/18/2026 10:05:00,ethan.hunt@example.com,Ethan Hunt,Youth Volunteer (12-18 yrs),8/23/2026;10/4/2026;11/1/2026,,,,,,,,English,Action,Going out to a party or social gathering,A good sense of humor and fun
8/18/2026 10:12:00,arthur.p@example.com,Arthur Pendelton,Senior Citizen (60+ yrs),9/13/2026;10/4/2026;12/6/2026,English,Comedy,Staying at home and reading/crafting/doing other hobbies,Honesty and authenticity,,,,,
8/18/2026 10:18:00,sophia.m@example.com,Sophia Martinez,Youth Volunteer (12-18 yrs),8/23/2026;9/13/2026;12/6/2026,,,,,,,,English;Spanish,Romance,Watching a movie or TV show,Empathy and genuine care
8/18/2026 10:25:00,margaret.c@example.com,Margaret Chen,Senior Citizen (60+ yrs),8/23/2026;11/1/2026,English;Mandarin,Romance,Visiting a museum or attraction site,Empathy and genuine care,,,,,
8/18/2026 10:30:00,lucas.g@example.com,Lucas Garcia,Youth Volunteer (12-18 yrs),9/13/2026;10/4/2026,,,,,,,,English;Spanish,Comedy,Going for a walk or hike at a local garden/park,A good sense of humor and fun
8/18/2026 10:35:00,dorothy.g@example.com,Dorothy Gale,Senior Citizen (60+ yrs),10/4/2026;11/1/2026;12/6/2026,English,Drama,Staying at home and reading/crafting/doing other hobbies,Honesty and authenticity,,,,,
8/18/2026 10:41:00,olivia.t@example.com,Olivia Taylor,Youth Volunteer (12-18 yrs),8/23/2026;12/6/2026,,,,,,,,English,Horror,Visiting a museum or attraction site,Reliability and trustworthiness
8/18/2026 10:48:00,robert.j@example.com,Robert Johnson,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;10/4/2026,English,Action,Going for a walk or hike at a local garden/park,Reliability and trustworthiness,,,,,
8/18/2026 10:55:00,liam.w@example.com,Liam Wilson,Youth Volunteer (12-18 yrs),9/13/2026;11/1/2026;12/6/2026,,,,,,,,English,Action,Going out to a party or social gathering,A good sense of humor and fun
8/18/2026 11:02:00,helen.m@example.com,Helen Miller,Senior Citizen (60+ yrs),11/1/2026;12/6/2026,English;French,Comedy,Watching a movie or TV show,Empathy and genuine care,,,,,
8/18/2026 11:10:00,emma.d@example.com,Emma Davis,Youth Volunteer (12-18 yrs),8/23/2026;9/13/2026;10/4/2026, English;Korean,,,,,,,Drama,Staying at home and reading/crafting/doing other hobbies,Honesty and authenticity
8/18/2026 11:15:00,walter.w@example.com,Walter White,Senior Citizen (60+ yrs),8/23/2026;10/4/2026,English,Drama,Visiting a museum or attraction site,Honesty and authenticity,,,,,
8/18/2026 11:22:00,noah.a@example.com,Noah Anderson,Youth Volunteer (12-18 yrs),9/13/2026;11/1/2026,,,,,,,,English,Comedy,Going for a walk or hike at a local garden/park,A good sense of humor and fun
8/18/2026 11:30:00,betty.t@example.com,Betty Thomas,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;12/6/2026,English,Romance,Staying at home and reading/crafting/doing other hobbies,Empathy and genuine care,,,,,
8/18/2026 11:36:00,ava.m@example.com,Ava Thomas,Youth Volunteer (12-18 yrs),10/4/2026;11/1/2026;12/6/2026,,,,,,,,English,Romance,Watching a movie or TV show,Reliability and trustworthiness
8/18/2026 11:42:00,george.h@example.com,George Harris,Senior Citizen (60+ yrs),9/13/2026;10/4/2026,English,Action,Going for a walk or hike at a local garden/park,Reliability and trustworthiness,,,,,
8/18/2026 11:50:00,william.j@example.com,William Jackson,Youth Volunteer (12-18 yrs),8/23/2026;11/1/2026,,,,,,,,English,Horror,Going out to a party or social gathering,A good sense of humor and fun
8/18/2026 11:57:00,ruth.c@example.com,Ruth Clark,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;11/1/2026,English,Comedy,Watching a movie or TV show,Empathy and genuine care,,,,,
8/18/2026 12:05:00,sophia.l@example.com,Sophia Lee,Youth Volunteer (12-18 yrs),9/13/2026;10/4/2026;12/6/2026,,,,,,,,English;Mandarin,Drama,Visiting a museum or attraction site,Honesty and authenticity
8/18/2026 12:12:00,edward.l@example.com,Edward Lewis,Senior Citizen (60+ yrs),10/4/2026;12/6/2026,English,Drama,Visiting a museum or attraction site,Honesty and authenticity,,,,,
8/18/2026 12:18:00,james.m@example.com,James Martin,Youth Volunteer (12-18 yrs),8/23/2026;9/13/2026,,,,,,,,English,Action,Going for a walk or hike at a local garden/park,Reliability and trustworthiness
8/18/2026 12:25:00,evelyn.r@example.com,Evelyn Robinson,Senior Citizen (60+ yrs),8/23/2026;10/4/2026;11/1/2026,English,Romance,Staying at home and reading/crafting/doing other hobbies,Empathy and genuine care,,,,,
8/18/2026 12:30:00,benjamin.c@example.com,Benjamin Clark,Youth Volunteer (12-18 yrs),9/13/2026;11/1/2026;12/6/2026,,,,,,,,English,Comedy,Watching a movie or TV show,A good sense of humor and fun
8/18/2026 12:38:00,frank.w@example.com,Frank Walker,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;12/6/2026,English,Action,Going for a walk or hike at a local garden/park,Reliability and trustworthiness,,,,,
8/18/2026 12:44:00,mia.r@example.com,Mia Rodriguez,Youth Volunteer (12-18 yrs),10/4/2026;11/1/2026,,,,,,,,English;Spanish,Drama,Visiting a museum or attraction site,Empathy and genuine care
8/18/2026 12:51:00,alice.y@example.com,Alice Young,Senior Citizen (60+ yrs),9/13/2026;10/4/2026;11/1/2026,English,Comedy,Staying at home and reading/crafting/doing other hobbies,Honesty and authenticity,,,,,
8/18/2026 12:58:00,eucharist.l@example.com,Lucas Lewis,Youth Volunteer (12-18 yrs),8/23/2026;12/6/2026,,,,,,,,English,Horror,Going out to a party or social gathering,A good sense of humor and fun
8/18/2026 13:05:00,harold.k@example.com,Harold King,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;10/4/2026,English,Drama,Visiting a museum or attraction site,Reliability and trustworthiness,,,,,
8/18/2026 13:12:00,charlotte.l@example.com,Charlotte Lee,Youth Volunteer (12-18 yrs),9/13/2026;11/1/2026;12/6/2026,,,,,,,,English,Romance,Watching a movie or TV show,Empathy and genuine care
8/18/2026 13:20:00,martha.w@example.com,Martha Wright,Senior Citizen (60+ yrs),10/4/2026;11/1/2026;12/6/2026,English,Romance,Staying at home and reading/crafting/doing other hobbies,Honesty and authenticity,,,,,
8/18/2026 13:27:00,henry.w@example.com,Henry Walker,Youth Volunteer (12-18 yrs),8/23/2026;9/13/2026;10/4/2026,,,,,,,,English,Action,Going for a walk or hike at a local garden/park,A good sense of humor and fun
8/18/2026 13:34:00,florence.l@example.com,Florence Lopez,Senior Citizen (60+ yrs),8/23/2026;11/1/2026,English;Spanish,Comedy,Going for a walk or hike at a local garden/park,Empathy and genuine care,,,,,
8/18/2026 13:40:00,alexander.h@example.com,Alexander Hall,Youth Volunteer (12-18 yrs),9/13/2026;10/4/2026;12/6/2026,,,,,,,,English,Comedy,Watching a movie or TV show,Reliability and trustworthiness
8/18/2026 13:48:00,raymond.h@example.com,Raymond Hill,Senior Citizen (60+ yrs),8/23/2026;9/13/2026;10/4/2026,English,Action,Visiting a museum or attraction site,Honesty and authenticity,,,,,
8/18/2026 13:55:00,isabella.a@example.com,Isabella Allen,Youth Volunteer (12-18 yrs),8/23/2026;11/1/2026;12/6/2026,,,,,,,,English,Drama,Going out to a party or social gathering,Empathy and genuine care
8/18/2026 14:02:00,gladys.s@example.com,Gladys Scott,Senior Citizen (60+ yrs),9/13/2026;10/4/2026;11/1/2026,English,Drama,Staying at home and reading/crafting/doing other hobbies,Reliability and trustworthiness,,,,,
8/18/2026 14:10:00,mason.y@example.com,Mason Young,Youth Volunteer (12-18 yrs),8/23/2026;9/13/2026;12/6/2026,,,,,,,,English,Action,Going for a walk or hike at a local garden/park,A good sense of humor and fun
8/18/2026 14:18:00,eugene.g@example.com,Eugene Green,Senior Citizen (60+ yrs),10/4/2026;12/6/2026,English,Comedy,Watching a movie or TV show,Honesty and authenticity,,,,,
8/18/2026 14:25:00,harper.k@example.com,Harper King,Youth Volunteer (12-18 yrs),8/23/2026;10/4/2026;11/1/2026,,,,,,,,English,Comedy,Visiting a museum or attraction site,Reliability and trustworthiness
